"","4","13","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000150995.21",12.7986908750377,12.4891380919499,12.4831830679525,12.2864203090265,12.373677301486,12.1250671563531,12.7527609683108,12.4993015169728,12.2554032022257
"ENSG00000151006.7",8.14976547298656,8.12126823094244,8.59052498176748,8.6342817959803,8.02378227256373,8.14039217425517,8.57929883775266,8.61564267459603,8.2461785317656
"ENSG00000151012.13",7.36349471107364,7.67957293824796,6.29096594236592,7.04355690209016,6.91241973263786,8.16553956633113,7.06273127512617,6.71463213925425,6.7665472467169
"ENSG00000151014.6",7.16380807119759,7.38102779509866,7.28402565224081,7.24524864016701,7.55675320534201,7.590265277085,7.6760534653626,6.96416262030359,7.27588160474545
"ENSG00000151023.17",6.99117036897536,7.19423108704481,6.74848927910535,7.03046659247088,7.43294466867272,7.85120716730428,7.69082489438597,6.73344001821609,6.09228183742102
"ENSG00000151062.15",7.98734327907929,8.68318512916439,8.55884778926298,8.81403234464058,8.57000563349127,7.94985812083786,8.90350578380921,9.14621897634568,9.23252325314027
"ENSG00000151065.14",9.22169618057108,9.1026003259682,9.0783908671964,8.8628028730805,9.0290740939728,8.77474713924945,8.75409721764196,8.90735361900773,9.46877694882794
"ENSG00000151067.23",6.03881095948736,6.44038807042066,6.71261544353511,6.50340169989567,6.12089021245877,5.64162089613393,6.7286563278722,6.19721194263081,6.58463119435448
"ENSG00000151079.8",7.36349471107364,7.50774375641319,7.2407978713235,7.00379712222468,7.50324944829333,6.73469156523035,7.55126983857439,7.31417857396464,7.64015861093882
"ENSG00000151090.20",6.32533279837972,6.22456370756629,6.65599008891439,6.57023756838114,6.79040101703602,6.5997869235245,7.28705621394925,7.34604832019918,6.32637350472995
"ENSG00000151092.18",10.5539216599278,10.653111849337,10.2598772250462,10.3395344968217,10.5781829256631,10.4831692107535,10.0898923751401,10.4122190073602,10.2719065346728
